"ID"	,"REG_NO"	,"CORP_NAME"
"1271"	,"320102000080322"	,南京千面艺术设计制作有限公司
"1185"	,"320125000089897"	,南京市高淳包装材料厂
"1192"	,"320125000054475"	,南京建强纸业有限公司
"1191"	,"320125000054483"	,南京宏蓝纸制品有限公司
"1190"	,"91320118787144306M"	,南京平芳纸制品有限公司
"1189"	,"320125000054750"	,南京鸿飞包装有限公司
"1188"	,"91320118787148534T"	,南京中发纸业有限公司
"1199"	,"91320113135498934W"	,南京奶业集团彩印包装厂
"1690"	,"320104000047733"	,南京清晨印刷有限公司
"1691"	,"320104000000120"	,南京人民印刷晒图厂
"1692"	,"913201148355398216"	,春光印刷装订厂
"1694"	,"320104000010344"	,南京天印印刷有限责任公司
"1695"	,"91320114X08957114W"	,南京陵德印刷厂
"1704"	,"91320104135171800w"	,南京莫愁印刷厂（普通合伙）
"1705"	,"91320104716220519K"	,南京金斯达印刷厂
"1438"	,"320114000034356"	,南京田之印设计有限公司
"1445"	,"320100000084085"	,南京科鑫图文印务有限公司
"1515"	,"320113000050105"	,南京风雅包装厂
"1518"	,"320113000052238"	,南京神绘印刷厂
"1523"	,"91320113135476436Q"	,南京市栖霞区飞跃印刷厂
"1527"	,"913201137305714623"	,南京市栖霞区兴武印刷厂
"1529"	,"92320113MA1PBB3U6M"	,南京市栖霞区顺利印刷厂
"1119"	,"91320115135591952M"	,南京市江宁区民振印刷有限公司
"1149"	,"913201161354162810"	,南京中山包装材料有限公司
"1151"	,"91320116724580506H"	,南京扬子塑料化工有限责任公司
"1158"	,"320121000033791"	,南京盛溪印刷包装有限公司
"1159"	,"320121000135779"	,南京创新纸箱制品有限公司
"1161"	,"91320115135640240B"	,南京武强实业有限公司
"1162"	,"91320118780681045Ｇ"	,南京市高淳区华强纸箱有限公司
"1164"	,"913201187512902566"	,南京洁源包装有限公司
"1165"	,"91320118730576781F"	,南京巨能印刷包装有限责任公司
"1167"	,"913201171357892724"	,南京市溧水纸箱厂
"1168"	,"320124000201604150381"	,南京明山防伪包装材料厂
"1329"	,"913201057305690554"	,南京双坚工贸有限公司
"1424"	,"91320106835244150P"	,南京瑞迪科技服务有限公司印刷厂
"1255"	,"320114000023169"	,南京艾利包装印刷有限公司
"1133"	,"320123000038884"	,南京长宏纸制品有限公司
"1134"	,"320106000052839"	,南京鼎和图文设计制作有限责任公司
"1261"	,"320102000082658"	,南京图强印刷有限公司
"1256"	,"320121000042734"	,南京大康包装有限公司
"1262"	,"320114000004621"	,南京金陵照相制版厂
"1136"	,"320102000082963"	,南京南琳图文制作有限公司
"1751"	,"913201027838077822"	,南京华建印务有限公司
"1270"	,"913201147307547549"	,南京邦诚科技有限公司
"1273"	,"32012400008004"	,南京鑫阳纸业有限公司
"1138"	,"320111000040551"	,南京俊浦书刊装订有限公司
"1275"	,"913201157904428494"	,南京维嘉标签印刷有限公司
"1278"	,"91320104790426603H"	,南京光华显胜印务有限公司
"1281"	,"91320118783828049Q"	,南京正浩印刷有限公司
"1758"	,"320121000067284"	,南京空都印务有限公司
"1286"	,"913201157937414656"	,南京麒兴印务有限公司
"1288"	,"320125000057582"	,南京淳安包装有限公司
"1289"	,"91320115249802957L"	,南京市江宁区湖熟兴旺粮油面粉有限责任公司
"1290"	,"91320115686717160Y"	,南京荣慧达包装有限公司
"1142"	,"91320106724552687A"	,南京东南文化交流有限公司
"1759"	,"91320115793730563N"	,南京清扬印务有限公司
"1760"	,"91320115793736754F"	,南京利平源印刷有限公司
"1761"	,"91320114797116181J"	,南京尚诚印务有限公司
